,Customer Number,Campaign Period Sales,Historical Sales Volume,Date of First Purchase,Number of Prior Year Transactions,Do Not Direct Mail Solicit,Do Not Email,Do Not Telemarket,Repurchase Method,Last Transaction Channel,Desk,Executive Chair,Standard Chair,Monitor,Printer,Computer,Insurance,Toner,Office Supplies,Number of Employees,Language,Service Level,Date of Last Transaction,Number of Transactions,Email Available,Buy,Customer_engagement_days,Days_since_last_transaction,Customer_engagement_length,Language_group
0,86734,238.70476190476194,146803.42857142858,1968-10-01,15.0,False,False,False,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,Y,N,Y,6-10,English,Premier,2015-02-05,15,True,1,19482,2554,Long-Term,English
1,97098,281.68,439984.16,1981-06-15,22.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,11-50,English,Premier,2014-10-02,22,True,1,14842,2680,Long-Term,English
2,100836,432.8571428571429,970465.7142857144,1962-11-01,19.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2010-03-17,19,True,1,21643,4340,Long-Term,English
3,116390,0.0,230193.59999999998,1983-06-01,17.0,False,False,False,NOTICE,PHONE,N,N,N,N,N,N,N,N,Y,1-5,English,Standard,2014-08-14,17,True,0,14126,2729,Mid_Term,English
5,148529,308.41904761904766,182584.07619047622,1979-05-15,16.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,Y,Y,6-10,English,Premier,2012-08-24,16,False,1,15604,3449,Long-Term,English
6,163829,0.0,151252.5,1986-11-15,6.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,N,51-100,English,Premier,2013-04-25,6,True,0,12863,3205,Mid_Term,English
7,164322,0.0,1377761.0000000002,1985-09-01,21.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,51-100,Unknowm,Premier,2013-08-17,21,False,0,13303,3091,Mid_Term,European
9,170336,223.44000000000003,277512.48000000004,1982-07-01,18.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,1-5,English,Premier,2012-06-08,18,False,1,14461,3526,Mid_Term,English
10,182528,0.0,221457.14285714287,1983-12-01,15.0,False,False,False,NOTICE,WEB,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2015-07-20,15,True,0,13943,2389,Mid_Term,English
11,186013,124.75999999999999,199366.48,1980-09-01,17.0,False,True,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,1-5,English,Standard,2015-03-15,17,True,1,15129,2516,Long-Term,English
12,191440,0.0,332935.2693333333,1987-12-01,22.0,False,False,False,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,Y,Y,11-50,English,Premier,2015-05-15,22,False,0,12482,2455,Mid_Term,English
13,196723,0.0,184006.28571428574,1987-03-01,15.0,False,True,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Standard,2015-06-13,15,False,0,12757,2426,Mid_Term,English
15,212131,110.33333333333336,148950.00000000003,1971-07-01,10.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,Y,N,Y,1-5,English,Standard,2015-08-10,10,True,1,18479,2368,Long-Term,English
16,217573,0.0,255984.48000000004,2016-06-14,23.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,11-50,English,Standard,2012-12-02,23,True,0,2059,3349,Short_Term,English
